" 0 path: ../test_data/query_dir_nt/test02.fasta.gz, fasta_id: total sequence, length : 4390553"									
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	8.74E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000427315.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4322628
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	8.88E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_009928425.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4402344
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	8.92E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001750145.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4792631
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	8.98E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_007679325.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	3890282
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	8.99E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001422645.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4140348
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.09E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001512305.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4174754
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.36E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_007858535.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	3517818
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.40E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_013359735.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	3860327
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.40E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_005937985.2_genomic.fna.gz	 total sequence 	 answer_seq_len:	3649547
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.41E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_004798705.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4170970
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.43E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000374925.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4431768
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.45E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001428365.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	3540132
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.47E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_018224015.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4565939
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.47E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_003097355.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4708612
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.48E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_900168135.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4541763
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.48E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_003352915.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4346993
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.49E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_900102895.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4262270
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.49E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_900102785.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4710973
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.50E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_003634095.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4312309
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.51E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_900116495.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4452447
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.54E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000685965.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5099778
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.56E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000876655.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4703818
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.58E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_017832975.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4706869
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.58E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002929335.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5218583
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.58E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001423745.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5201100
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.59E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000196235.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5070478
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_003725815.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4248670
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002929275.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4698928
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_005280255.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5563753
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000238915.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4954410
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_004320525.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5118715
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002008315.2_genomic.fna.gz	 total sequence 	 answer_seq_len:	4860540
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.61E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001969265.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5041568
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.62E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000717715.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	8863434
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.62E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001428005.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5883952
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.62E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_013314975.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4689826
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.62E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_018613835.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	5345911
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002892795.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4908550
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001905545.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	9539919
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_018613755.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4981045
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_003261175.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4892409
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_017308975.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	10575143
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001428335.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4526409
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002813365.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	8809961
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_001641125.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4509958
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.63E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_000719705.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	8783146
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.64E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_014650895.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	8565842
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.64E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_017052465.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	4810196
	 query_id: 	 ../test_data/query_dir_nt/test02.fasta.gz 	 distance: 	9.64E-01	 answer_fasta_path 	 ../gtdb_v207/GCF_002813165.1_genomic.fna.gz	 total sequence 	 answer_seq_len:	8326181
